策划案编号,标题,题材,主线,人设,钩子,投流,主线评估结论,人设评估结论,钩子评估结论,投流评估结论
11,,,"故事起因：
十五年前，女主原本有出身在一个幸福的家庭，因为母亲怀孕无法顾及自己，于是找来了一个女仆照顾自己。但因为女仆的介入导致自己幸福的家破碎。

十五年后，女主改名来到女二家，成为女二的贴身女仆。原本想着以牙还牙复仇女二，但在复仇的过程中结识了女二的儿子，从而引发一些列的故事。
主角主要目的：复仇女二一家。
经历阻碍事件：
1-酒会上，女二东西遗失羞辱教训女主；
2-女主复仇过程中，被男主恰好看到并且遭到男主的阻挠
3-女主和男主的的感情线，遭到女二的阻碍","男主：女二的儿子，热爱画画。前期以为女主来到自己家另有目的，所以对女主充满敌意，。但在潜移默化中爱上了女主，后得知女主真实目的后依旧爱着女主。
女主：原本出身在一个幸福的家庭，小时候因为母亲找来的女仆导致自己家庭破裂，长大后到女二家当女女仆，开启自己的复仇之路。
男二：女二丈夫，是一名医学教授。
女二：女主的复仇对象，为了能让自己拥有更好的生活，蓄意接近女主父亲，并让女主一家破人亡。",女主在勾引女二丈夫的时候，女二进来捉奸。（打一个信息差）,"吸睛事件：
素材1：女主内心vo知道男二有游泳的习惯，所以故意清洗泳池，目的是为了勾引男二，让男二对自己逐步产生兴趣。
素材2：女主将女二的珠宝戴在身上，给正在开会的女二发信息说自己自己整和她的丈夫偷欢，女二看到消息后立刻停止会议回家捉奸。
素材3：男主和女主之间感情的拉扯。",通过,通过,通过,通过
12,,,"故事起因：
五年前，女主被未婚夫以及姐姐设计和男主发生一夜情，事后女主被家人指责并被赶出家门，而女主姐姐为了让女主彻底消失，直接指导了一场车祸。

五年后，女主成为千亿总裁带着萌宝归来，主要目的是为复仇男二和女二，并夺回原本属于自己的家产。另一边男主则在暗中一直寻找女主，直到接到好兄弟的电话，得知自己竟有一个孩子。男主怀疑孩子母亲就是自己要找的那个女人，于是主动接近女主，目的就是为了证实女主是否是五年前与自己发生一夜情的对象。
主角主要目的：复仇男二和女二
经历阻碍事件：
1-原生家庭的打压；
2-女二各种造谣女主，联合男二给女主使绊子；
3-男女主情感拉扯；","男主：霸总，五年前和女主发生一夜情后，多年来一直在寻找女主。五年后，意外得知自己有个流落在外的孩子，并怀疑孩子的母亲就是自己要找的人。于是上门找女主，想要证实女主就是五年前与自己发生一夜情的对象，但在长久的相处中，逐渐爱上了女主。
女主：千亿总裁，五年前，被女主姐姐和未婚夫设计跟男主发生一夜情。
五年后女主归来，成为千亿女总裁后，只为复仇男二和女二。但命运的驱使让女主再次遇上男主
男二：渣男，原是女主的未婚夫，和女二勾搭上以后彻底抛弃女主。
女二：女主的姐姐，一心想要抢占属于女主的东西。",女主的身在份即将曝光那一刻，反派们得知后的反应。（打一个信息差，后期钩子可以是男主掉马以及女主何时知道男主就是她的一夜情对象）,"吸睛事件：
素材1：女二设计女主和男主发生一夜情，并被赶出家门。
素材2：女主改头换面带着萌娃归来的场面。（参照回家的诱惑，女主前后装扮，做一个反差人设）
素材3：女主遭到女二挑衅设计，自己主动化解，并掌掴女二。
素材4：男女主一些拉丝的甜宠画面。
素材5：开头素材，女主双手被绑着拴在汽车后面，车子在路上开，女主被反派一路在地上拖行。",通过,通过,通过,通过
13,,,"故事起因：
男二嫌弃女主很丑很胖，但是因为女主身家过亿，于是骗婚女主。事成之后联合女二将女主设计设计杀害并投海。女主因为海里的礁石被划破脸，幸被路过的男主所救。男主得知女主的遭遇后，提出和女主合作，因为男主和男二本身就彼此不对付。女主听后答应和男主合作。
三年后女主改头换脸归来，同时减肥成功，光鲜亮丽的出现在男二面前。并且成功诱骗渣男抛弃女二和自己再次结婚。之后女主步步为营，一步一步夺回了原本属于自己的一切，同时也联手男主一同让渣男为自己的所作所为付出代价。但在复仇的过程中逐渐对男主产生情愫。
主角主要目的：复仇男二和女二，并且夺回属于自己的一切。
经历阻碍事件：
1-女二得知女主身后，将女主以前的胖的照片公布于众。
2-男二得知女主真实身份后，想要布局设计想要再谋害女主一次。
3-男女主感情线，遭到女二和男二的阻碍。","男主：医学教授，男二的小叔。本就和男二彼此不对付。在机缘巧合在救下了女主，于是和女主达成合作共同复仇男二和女二。
女主：前期是因为胖导致长相不太好看的富家千金，但对男二死心塌地。看清男二的真面目后，决心改头换面，并且减肥成功归来复仇。
男二：：花花公子，原本因为女主有钱所以一直待在女主身边，但一次派对上解释了女主闺蜜，于是二人合谋掠夺女主财产，并且谋杀女主。
女二：心狠手辣，原本是女主闺蜜，但对男二一见倾心，且和男二合谋谋杀女主，以此夺得女主的财产。","一卡：女主真实身份差点曝光。

二卡：女主准备和男二结婚时，男二发现女主真实身份，欲故技重施，设局让女主在一个大场面身败名裂，以此好得到女主名下的所有财产。","吸睛事件：
素材1：女主前后形象作为一大两点，同时形成人设反差。

素材2：男二得知女主真实身份后，布局设计想要再谋害女主一次；
素材3：女主设计男二，把他引到地下室，跟狗关一起。因为女主知道男二怕狗，所以男二看到狗后，立刻为了躲狗，下意识爬到墙上嗷嗷乱叫。",通过,通过,通过,通过
14,,,"故事起因：
男女主相爱却因为女主的贫民出身被家族阻挠，女主欲离开，男主深爱不让（两人都在伪装）。原来这一切都是两人各怀鬼胎接近对方的复仇。5年前，男主误会女主的母亲是自己父亲的情妇，在女主母亲亟待手术时，借助家族势力调走了医生，导致女主母亲死去。5年后，女主被姥爷找回，回归继承人身份，假扮他人接近男主，而男主从女主一开始接近就知道女主身份。两人都假扮深爱对方，实际上都想让对方失去拥有的一切。但却发现真实情况跟自己预想的不一样，分不清假扮深情的界线，从而爱上对方。然而复杂的家庭关系和对父辈关系的误会，却让两人的感情障碍重重。
主角主要目的：复仇男主一家人，为死去的母亲报仇雪恨，拉男主下马，吞并男主集团，解开自己母亲被男主认为是情妇的误会。
经历阻碍事件：
1-假扮身份被发现，差点无法留在男主身边，会让自己陷入无法复仇的危险，但要对自己喜欢的人下手又非常艰难
2-父辈仇怨的心结，让女主全然接受男主
3-男二对当年手术真相的隐瞒、女二的刁难","男主：集团继承人，表面深情，实际想让女主再次失去一切。白切黑，阴狠偏执，六亲不认，复仇中期已经分不清是爱女主还是自己在扮演，后期知道真相后卑微跪求女主原谅。
女主：失散的集团千金，聪明果敢，善于运用美貌和计谋达成目的。
男二：知道当年女主母亲死去的手术真相的医生，因深爱女主，帮助女主复仇（参考黑暗荣耀周汝正）高智，有自己的小九九。
女二：男主原本的家族订婚对象，爱男主，恨女主，男主的复仇工具人。",女主穿上当年母亲的衣服（纯元故衣事件）引诱男主父亲。男主父亲以为是当年得不到的梦中情人（女主母亲）重新回来了，欲对其不轨，男主英雄救美，誓要为女主出气，顶替父亲集团董事的位置。（女主计谋得逞的爽感）,"吸睛事件：
素材1：女主穿上当年母亲的衣服（纯元故衣事件）引诱男主父亲。男主父亲以为是当年得不到的梦中情人（女主母亲）重新回来了，欲对其不轨，男主英雄救美，誓要为女主出气，顶替父亲集团董事的位置。（女主计谋得逞的爽感）
素材2：男主明牌知道女主身份后，对女主的囚禁和强制爱。（男女主的欲感+女主的痛点）
素材3：男女主解开误会后，男主雨夜卑微跪求女主原谅，女主因心结暂时无法接受男主，对男主狠心。（两人无法在一起的虐感）",不通过,通过,通过,通过
15,,,"故事起因：网球教练女主被嫉妒自己的女球员在一次网球比赛中下了“兴奋剂”后被查出，从此身败名裂，女二接替女主赢得比赛，网球明星女主沦落到去一个网球场打扫卫生，遇到球技平平的男主指点一二，但被转头选择女二的渣男抛弃奚落，软饭男反说女主贪图他钱财才和他在一起，来打网球的CEO男主英雄救美，让女二打女主的球拍直接打在男二脸上。因为被男二奚落没人要，而男主正想找个女人摆脱家族安排的婚事，所以两契约结婚。因为听到男二说女主是贪财的，男主故意因隐瞒自己是这家网球场老板，且坐拥整个城市所有体育馆的富人身份，只说自己是这里的帮工，女主也没有提及自己是网球明星的过去，但她暗自发誓要查出兴奋剂事件的真相，在下次比赛前把属于自己的东西拿回来，风光参加下一次比赛。而爱上女主的男主渐渐知道了女主的过去，并且帮助女主复仇。
主角主要目的：复仇让自己身败名裂的女二，拿回本属于自己的比赛机会，将女二绳之于法，以参加下个月的奥运比赛。
经历阻碍事件：
1- 女主要查清真相，遭到女二男二的阻挠
2-男二被拜金女的女二掏空钱包，看到女主近况好转，又来纠缠女主，被男主打脸。
3-男女主情感拉扯，女主身份低微被男主家族反对嫌弃，后面女主赢得巨额奖金，拾回网球女明星光环，男主全家打脸。","男主：体育行业CEO，垄断整个城市的健身器材生意
女主：曾经的网球明星，被人陷害后身败名裂，在网球场草地，打扫厕所
男二：女主前男友，为女主光环和她在一起，吃软饭，之后劈腿女二。
女二：网球运动员，嫉妒心强，自恋狂，用兴奋剂陷害女主，最后被疯狂打脸。",卡在欲点——男女主签订契约后，第一次打网球，被女二误导，女主误入男主更衣室，两人赤裸相对。,"吸睛事件：
素材1：女二男二在球场休息室里偷情被打扫卫生的女主发现。
素材2：女主开场赢得比赛后，在掌声中被举报使用兴奋剂，比赛中断，女主被拖出比赛。
素材3：女主被女二陷害，撞向网球场上的铁丝网，被男主接住。女二要用球拍拍女主却打脸男二",通过,通过,通过,通过
16,,,"故事起因：女主第一天入职丢失身份证明和报到材料，被女二捡到后冒充，顶替了女主的职位。由于两人长相很像，女二又因为被行政人员错认的身份得到了许多好处，就冒名顶替。女主百口莫辩，只好忍辱负重，好在有男主英雄救美，随着女主身份浮出水面，女二被疯狂打脸，而男主的真实身份是潜伏在公司内部调查内奸的CEO， 他发现女二罪证后将她绳之于法。
主角主要目的：揭穿女二真面目，把她从本属于自己的职位上拉下来，和男主在一起。
经历阻碍事件：
1-女二有女主所有证件，所有人都相信女二，不相信女主
2-女主被女二以领导身份打压，职场霸凌，以职位便利让女主去做各种分外的活，包括和某个好色老男人吃饭，被占便宜，幸亏男主即使出现，打退色狼。
3-女二知道男主真实身份后，挑拨男主和女主关系，让女主不停误会男主。","男主：打工人马甲，其实是潜伏CEO
女主：被抢了职位的悲惨打工妹
男二：女二狗腿子，见风使舵，经常在办公室偷情。
女二：冒名顶替女主位置，自称高材生，其实连高中也没毕业。入职那天本来是来应聘前台助理的。",女主即将掉马,"吸睛事件：
素材1：入职材料被掉包
素材2：女主被女二绊了一跤，一杯热咖啡泼在领导头上。
素材3：在记者采访的公关环节，女二口吃回答不出问题，女主对答如流，打脸女二",不通过,通过,通过,不通过
17,,,"故事起因：艾玛是新觉醒的女性Alpha，被南区狼王亚历克斯以""保护""为名囚禁。她每天都要经历非人的训练，在生与死的边缘挣扎。亚历克斯告诉她，只有这样才能对抗那个手持白骨手杖的魔鬼狼王。在她最绝望的时候，北区首领克里斯的出现给了她希望。然而当她终于以为找到了避风港，却在克里斯的书房里看到了那根噩梦中的白骨手杖。
主角主要目的：艾玛
目标：活下去，慢慢找到使命 性格：善良但倔强，渴望被爱却不盲从 特点：觉醒成罕见的银白色狼形，对抗能力极强

亚历克斯
目标：保护艾玛活下来，阻止克里斯的疯狂计划 性格：表面冷酷，内心守护，不惜被恨 特点：实力强大，行事果决，对艾玛严厉中带着隐藏的关切

克里斯
目标：获得艾玛的信任，完成他的""收藏"" 性格：表面温柔，内心疯狂，手段狠毒 特点：完美伪装者，擅长操控人心
经历阻碍事件：
亚历克斯的虐待训练
亚历克斯的档案被艾玛看到 误会
克里斯攻心暗中破坏亚历克斯的计划","女主：艾玛
目标：活下去，慢慢找到使命 性格：善良但倔强，渴望被爱却不盲从 特点：觉醒成罕见的银白色狼形，对抗能力极强

男主：亚历克斯
目标：保护艾玛活下来，阻止克里斯的疯狂计划 性格：表面冷酷，内心守护，不惜被恨 特点：实力强大，行事果决，对艾玛严厉中带着隐藏的关切

男二：克里斯
目标：获得艾玛的信任，完成他的""收藏"" 性格：表面温柔，内心疯狂，手段狠毒 特点：完美伪装者，擅长操控人心",女主背叛了男主，和男二私奔时，发现男二就是魔鬼狼王,"吸睛事件：
素材1：艾玛和克里斯锁着银链做爱
素材2：水牢训练时全身伤痕的艾玛
素材3：艾玛发现白骨手杖时，克里斯露出真面目",不通过,通过,通过,通过
18,,,"故事起因： 天才设计师林悦因车祸失去双亲,还背负男友的赌债。为了还债,她不得不在多个医院做清洁工。在一次清理医疗垃圾时,偶遇装扮成普通医生的霍氏集团CEO霍承御。霍承御被她的坚韧打动,提出假结婚。然而,这场交易婚姻却在林悦继母和情敌的算计下,渐渐滋生出真挚的爱情。
主角主要目的：林悦（女主）：表层目的：还清医疗债务，维持生计。深层目的：寻找真正的爱与安全感，走出失去双亲的阴影
霍承御（男主）表层目的：寻找真诚的婚姻关系。深层目的：保护林悦，治愈她的伤痛
经历阻碍事件：
继母发现霍承御工作证，威胁要揭发他的身份
林悦发现豪宅生活的违和感，怀疑霍承御身份
林悦误会霍承御与神秘女人的关系","女主林悦：天才设计师，性格坚韧，外表柔弱但内心倔强，因失去双亲而略显自卑
男主霍承御：Ceo 表面冷峻，内心温柔，事业有成但渴望真情","林悦意外撞见霍承御和神秘女人亲密用餐,心碎离开。继母和继姐趁机散布她是小三的谣言。当林悦准备独自离开时,突遭车祸。","吸睛事件：
素材1：用牙刷刷马桶
素材2：医疗垃圾泼向闺蜜的复仇时刻
素材3：两个人感情升温做爱",不通过,通过,不通过,通过
19,,,"故事起因：20岁的纯情大学生小樱为救重病的母亲，被闺蜜丽丽设局。丽丽不仅偷走了母亲的救命钱，还诱骗小樱去陪酒。遇到英俊霸道的夜总会老板萧南，发生一夜缠绵后，小樱以为这只是一场交易。第二天，萧南却成了她的新教授。更要命的是，为了还清医药费，她又不得不去萧南的会所当面具公主。
主角主要目的：女主(小樱)：
首要目的：筹钱救治重病的母亲
次要目的：保护自己的清白名誉

男主(萧南)：
表面目的：寻找一夜情对象
隐藏目的：保护小樱，铲除会所的害群之马
经历阻碍事件：
师生关系的伦理冲突
小樱对萧南的误解和戒备
丽丽的从中作梗和陷害","小樱（女主）：20岁纯情大学生，外表柔弱但内心坚强，处于情感空白期
萧南（男主）：30岁霸道总裁，表面花心实则专情
丽丽（反派）：25岁会所红牌，表面姐妹情深实则心机深沉，善于设局陷害",会所年度VIP宴会上，丽丽在小樱酒里下药，打算让她多p，并直播。药效发作时，小樱已经意乱情迷，被多个男人压在身下，丽丽正要揭开面具，萧南及时出现制止。,"吸睛事件：
素材1：初遇时的强吻戏
素材2：会所里的面具调情
素材3：药效发作时的英雄救美",通过,通过,通过,不通过
20,,,"故事起因：从小被继母虐待的钢琴家索菲亚因救人烧伤毁容，在音乐厅她与豪门总裁马克一夜情，马克误认为是自己的初恋，循着线索找上门，但被索菲亚妹妹莉莉顶替，而索菲亚车祸失忆又意外成为马克的私人钢琴教师。
主角主要目的：索菲亚：渴望被真诚相爱，摆脱继母控制。希望重返音乐舞台，实现音乐梦想。寻找自己真实身世

马克：寻找那个雨夜触动他心弦的神秘女子，走出初恋阴影，重获对生活的信心
经历阻碍事件：
继母的非法囚禁和威胁
莉莉的恶意顶替和诬陷
车祸导致的失忆","女主：索菲亚：才华横溢的天才钢琴家，善良坚韧，不轻易放弃，因烧伤而自卑，习惯性隐藏真实的自己
男主：马克：表面冷峻的商业精英，内心柔软，对音乐有独特感悟，重情重义，执着追寻真爱
女三：安娜（继母）：表面优雅的上流太太，内心阴暗，为利益不择手段，隐藏着不可告人的过去
女二：莉莉：表面甜美，内心扭曲，极度自私，嫉妒成性，渴望荣华富贵，不惜伤害姐姐",索菲亚找到证明身世的旧谱册，却在准备揭发真相时遭遇车祸。马克找到海伦娜家族的律师，掌握了关键线索。但消失的索菲亚是否还活着？,"吸睛事件：
素材1：在音乐厅里一夜情
素材2：地下琴房烛光中的独奏画面
素材3：海边公路的惊险车祸",通过,通过,通过,通过
21,,,"故事起因：女主瘫痪多年，丈夫和闺蜜无微不至地照顾，女主感动，却意外得知，自己恢复不了是因为丈夫一直在给自己吃狗吃的肌肉松弛剂。
主角主要目的：报复丈夫和闺蜜。
经历阻碍事件：
1-女主上网查询，快查出来，结果网被掐断，丈夫就在身后看着
2-女主借口和男主出去看电影，借机到药房询问药剂，得知真相，男主赶来，女主得知吃了这种药会下肢瘫痪，破梗是男主支开人，给女主打了镇定剂
3-女主服毒，而丈夫要获得财产女主必须活着，于是被迫送女主进医院，女主找机会求救。","男主：软饭硬吃凤凰男。
女主：将男主视为唯一依靠的有钱人，得知真相后清醒。
女二：女主闺蜜，男主出轨对象。",女主上网查询，快查出来，结果网被掐断，丈夫就在身后看着,"吸睛事件：
素材1：女主发现丈夫和保姆闺蜜，听到两人想害自己。
素材2：女主发现自己吃的药并不是治疗瘫痪的，药瓶下还有另一层标签。
素材3：女主找到机会上网查询药品名称，却发现网不能用，回头，男主在身后，询问她在查什么。",不通过,通过,通过,通过
22,,,"故事起因：假千金妈妈是女总裁的助理，将自己的孩子与女总裁的孩子调换。
主角主要目的：揭露调换真相
经历阻碍事件：
1-助理调换孩子，女总裁看到胎记，询问，被渣男丈夫糊弄过去。
2-假千金婚礼上，真千金出现抢婚，并说出调换真相。
3-女总裁起疑，决定调查。","男主：假千金的联姻对象但喜欢女主。
女主： 真千金
男二：女总裁老公，渣男，出轨助理。
女二：假千金；助理的女儿
女主妈妈；
假千金妈妈，女主总裁妈妈的助理。吸毒酗酒家暴，虐待女主",婚礼说出真相，真千金准备调查,"吸睛事件：
素材1：助理调换自己和女总裁的女儿。
素材2：助理虐待真千金，真千金凄惨和假千金千恩百宠长大的对比。女佣给女总裁下慢性毒。
素材3：假千金婚礼，真千金抢婚，男主揭露真相。掉包的事险些败露，首富千金对真相起疑，决定查监控。",通过,通过,通过,通过
23,,,"故事起因：女主去夜总会跟任务，男主对她一见钟情，毁她婚礼强取豪夺。女主迫于压力嫁男主，对男主反感排斥，殊不知男主是儿时救她的大哥哥，是她将渣男错认成恩人
主角主要目的：男主强取豪夺守护女主，女主逃离魔掌，追查父亲死亡真相
经历阻碍事件：
1-女主想通过结婚逃离男主，男主发疯婚礼抢亲
2-女主被误导，认定男主是杀父杀兄凶手
3-女配利用权势强行插入男女主感情","男主：黑手党大佬，疯批、占有欲max。儿时救过女主
女主： 正义小记者，一直在调查父亲死因，父兄都是警察
男二：演员，出卖女主父亲出警信息得以上位
女二：另一个帮派的千金","一卡：男主婚礼抢亲，女主夺枪要自杀威胁男主，男主发疯，直接给未婚夫身上绑炸弹
（或者女主要发现男主是儿时恩人？）","吸睛事件：
素材1：男主婚礼抢亲，女主夺枪要自杀威胁男主，男主发疯，直接给未婚夫身上绑炸弹
素材2：渣男被哥哥发现父亲死亡真相，要揭穿被渣男失手捅死，渣男嫁祸给男主
素材3：女配利用家族势力迫害女主",通过,通过,通过,通过
24,,,"故事起因：渣男联合闺蜜给女主下药，误把女主送进男主房间，通过男主，女主发现认错恩人，被渣男给白月光当枪手，在男主帮助下，手撕渣男白月光，在作曲界大放异彩
主角主要目的：男主-帮女主，让其爱上他；女主-手撕渣男贱女，拿回自己的荣耀
经历阻碍事件：
1-女主发现渣男劈腿，被当枪手，反抗，渣男控制病重母亲威胁
2-女主作品被指认抄袭
3-男女主关系转正","男主：渣男小叔。车祸失明时被女主创作的歌鼓励，复明去找女主，发现女主跟渣男官宣，至此远走国外三年。女主恩人，车祸前救过女主母亲，跟女主有一面之缘，对她一见钟情（女主当时晕倒，并未看清恩人样子）
女主： 作曲家。毕业后被渣男困在家，写的曲谱都被渣男拿去成就白月光
男二：女主学长。冒领男主恩情的渣男
女二：女主闺蜜，渣男白月光，看重女主天赋，与渣男一起设计女主当她成名垫脚石",一卡卡在，女主偷听到渣男拿她当枪手,"吸睛事件：
素材1：渣男跟闺蜜活春宫被女主发现
素材2：女主作品赢得第一名，被闺蜜当众指认抄袭
素材3：男二用母亲性命威胁，女主承认抄袭",不通过,通过,不通过,通过
25,,,"故事起因：女主的父亲欠下巨额赌债，身为黑帮老大的男主上门收债，看上女主，强取豪夺要求女主做自己的情人抵债。也因此，男主并不珍惜尊重女主。不久后，女主发现自己得了绝症，打算告诉男主时，却意外听见男主说自己要结婚了，并表示女主只是一个随意玩弄的情人，不配管自己的私事，女主伤心欲绝，决定离开独自渡过剩下的时间，却仍被男主留下各种折磨，最后男主意识到自己的感情，追妻火葬场。
主角主要目的：男主得知女主得了绝症，意识到自己对女主的感情，追妻火葬场。
经历阻碍事件：
1-女主发现自己得了绝症，打算告诉男主时，意外听到了男主要结婚的消息，女主决定离开，却被男主抓了回来，折磨，女主说出自己得了绝症。（男主不信，觉得是女主想逃的借口。）
2-女二将女主推下楼，女主送医，男主看到病历单。
3-男主意识到自己的感情，想要弥补时，得知女主绝症不治身亡。","男主：黑手党老大，超雄，爱上女主后做出改变。
女主： 原本是天赋出众的画家，在得知自己得了绝症后，开始致力于逃离男主，去完成自己未竟的梦想，最后假死逃离男主，绘画获得大奖被男主发现没死，男主追妻。
男二：痴情男二，助攻工具人
女二：恶毒的联姻对象。",女主对男主说自己得了绝症。,"吸睛事件：
素材1：黑帮上门收债，将女主父亲痛揍一顿，女主惊慌，男主出现，表示要女主做他的情人。
素材2：女主发现自己得了绝症，想找男主坦白，却听到男主要结婚的消息，男主还表示女主只是自己的情人，没有资格管自己的私事。
素材3：女主被女二推下楼。",通过,通过,通过,通过
